"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SCGN",-0.0211812710622721,3.96140709467456,-0.216278930048716,0.831695473780566,0.891315358074474,-6.59453095403493
"TKTL2",0.0214513388278395,3.74260765088757,0.215968161969619,0.831933327666165,0.891401708922097,-6.59460113911725
"MYO16",0.0185152875457861,4.88252901183432,0.215904714669912,0.831981890683583,0.891401708922097,-6.59461545597755
"GNA14",-0.0325371208791214,4.35335637278107,-0.215815284430374,0.832050342430657,0.891401708922097,-6.59463562878062
"AGA",0.0496126739926774,7.2652539704142,0.215808848759053,0.832055268480228,0.891401708922097,-6.59463708015641
"AMZ2P1",-0.0470469157509141,5.64395285207101,-0.215806655911684,0.832056946950896,0.891401708922097,-6.59463757467861
"SLC2A3",-0.0652441520146496,10.5020911715976,-0.215796694548211,0.832064571685732,0.891401708922097,-6.59463982106275
"ORMDL1",0.0331594542124529,7.80957924260355,0.215789677183051,0.832069943003926,0.891401708922097,-6.59464140348484
"RNA5SP36",0.022802847985349,2.89837113313609,0.215773902627974,0.832082017390018,0.891401708922097,-6.59464496047438
"RNU6-441P",-0.0326666648351646,3.84568085798817,-0.215684477165212,0.832150467535946,0.891434064754346,-6.5946651200533
"PPCDC",-0.0243612399267388,5.20381868047337,-0.215579067062324,0.832231154825115,0.891479525944892,-6.59468887245754
"ANXA8",0.0318378791208804,5.41650837278107,0.215356290129072,0.832401688223394,0.891619634582823,-6.59473903355457
"IFITM10",0.0599968571428615,7.37034684615385,0.215286955025466,0.832454765291741,0.891619634582823,-6.59475463473071
"NDUFAF7",-0.0235092728937722,6.97722846745562,-0.215258278208595,0.832476718074261,0.891619634582823,-6.59476108587689
"CCDC9",-0.0239012032967061,7.95827460946746,-0.215034491195111,0.832648037283279,0.891762145251419,-6.59481139974241
"OR8S1",-0.0342366611721596,4.73128926627219,-0.214856111086922,0.832784601707613,0.891811354821345,-6.59485146755928
"RBM27",0.0327339377289402,8.15548436686391,0.214855517532065,0.832785056131238,0.891811354821345,-6.59485160082867
"CAMKV",-0.030849752747252,4.50579675147929,-0.214824535699331,0.832808775804976,0.891811354821345,-6.59485855659427
"SEMA6D",0.081256710622716,6.22466459171598,0.214673206810939,0.832924635529666,0.89189444455986,-6.59489251728557
"ZSWIM4",0.0334559065934084,6.4930773964497,0.21429897444759,0.833211170769961,0.892121035275893,-6.59497639905656
"KCNK9",-0.0232261318681317,5.00831176331361,-0.214258940416602,0.833241824726443,0.892121035275893,-6.59498536381477
"C9orf66",-0.0347281227106215,4.68858320710059,-0.214246858975419,0.833251075510401,0.892121035275893,-6.59498806886614
"FLRT2",0.149597619047619,6.73685338461538,0.214024895869264,0.833421037640887,0.89213415451286,-6.59503773973685
"HAND2",0.0518760952380957,5.21454738461538,0.213984602853155,0.833451891828648,0.89213415451286,-6.59504675101483
"GLDC",-0.0331299175824142,5.74498714792899,-0.213946433001193,0.833481120474433,0.89213415451286,-6.59505528590541
"PDE2A",0.0268083864468878,5.17471365088757,0.213941518554416,0.833484883741014,0.89213415451286,-6.59505638468014
"KCNJ8",0.0375703772893781,5.48111824556213,0.213937049585075,0.833488305884277,0.89213415451286,-6.595057383833
"BTLA",0.0196702399267403,4.00437551183432,0.213930927204233,0.833492994144142,0.89213415451286,-6.5950587526148
"FAM74A4",0.0276587142857156,5.04488815384615,0.21373678267652,0.833641665184793,0.892196082262561,-6.59510213735214
"NCKAP5",-0.0423295091575069,5.02150286390533,-0.213727300962271,0.833648926213368,0.892196082262561,-6.59510425519208
"SLC25A11",0.023255659340661,9.06924879881657,0.213701160985396,0.833668944100698,0.892196082262561,-6.59511009334549
"AMER3",0.0292189029304017,5.30755425739645,0.213655420833185,0.833703972008252,0.892196082262561,-6.59512030733298
"GBX2",-0.050209113553116,8.0465025739645,-0.213596504998776,0.833749090418286,0.892203399925574,-6.59513346030936
"SERINC5",-0.0527875256410244,8.84463514201183,-0.213065532197881,0.834155742603378,0.892484688499276,-6.59525183748311
"RNU6-824P",-0.030077255494505,4.68894538757396,-0.213061825125891,0.834158581883162,0.892484688499276,-6.59525266292307
"RNY4P20",0.0252494633699643,2.42382368639053,0.213060827049865,0.834159346318976,0.892484688499276,-6.59525288515851
"C21orf49",0.0282670109890106,3.78423276331361,0.213053288586968,0.834165120104184,0.892484688499276,-6.59525456366822
"TRMT2B",0.0314608791208828,7.08812421893491,0.212840526672594,0.834328080679408,0.892618066394077,-6.5953019127697
"HLA-B",0.0556020879120886,12.248434260355,0.212785454812563,0.834370263107511,0.892622221713337,-6.59531416107707
"RPL13A",-0.0186914285714259,12.2948223076923,-0.212582429965931,0.834525775034761,0.892747612738568,-6.59535928779084
"MRGPRX2",0.02213122893773,4.67862947928994,0.212345004376978,0.83470764612184,0.892901189102338,-6.59541200651306
"ARID1A",0.0504503443223463,8.10074630177515,0.212281035776751,0.834756648569449,0.8929126260135,-6.59542620028881
"NPIPA7",0.049681723443225,8.55271052071006,0.212097696858263,0.834897097266558,0.892982124923595,-6.59546685719171
"LIPG",0.0304608186813216,4.91737182840237,0.212096193732916,0.834898248775477,0.892982124923595,-6.59546719037774
"LY6K",0.0709955384615419,6.36024709467456,0.211948772083209,0.835011186925373,0.893061937117735,-6.59549985677822
"RNU6-1264P",-0.0196626437728931,1.89207403254438,-0.211678392289639,0.835218331748888,0.893242493372704,-6.59555971016735
"FOSB",0.0561726410256433,6.52122314201183,0.211503215350697,0.835352545982157,0.893345039423976,-6.59559844816897
"RN7SL88P",-0.0327109725274699,3.67187425443787,-0.211398876437393,0.835432489196809,0.893389540064695,-6.59562150615554
"RNU1-35P",0.02846876007326,2.10920606508876,0.211301274813007,0.835507272080094,0.893428518552522,-6.59564306502323
"SPZ1",-0.0204723479853475,3.05508982840237,-0.211039237179677,0.835708054820378,0.893602222035076,-6.59570089661533
"RNU6-572P",-0.0251924798534779,3.27681397633136,-0.210384869064642,0.836209506955269,0.894097393274909,-6.59584500390162
"UGT2B15",0.0171187976190486,3.02256542307692,0.210106405593345,0.836422919993274,0.894212346777719,-6.59590619319663
"CKS1BP6",-0.0434388333333322,5.317509,-0.210105083984752,0.836423932899299,0.894212346777719,-6.59590648341356
"SERPINB1",-0.0311348617216103,7.95113670118343,-0.210094404450662,0.836432117908828,0.894212346777719,-6.59590882850544
"RNU6-910P",0.030526762820513,3.83736673668639,0.209931429406232,0.836557027681153,0.894304863964987,-6.59594460108215
"ZNF548",0.0233427619047637,6.73007992307692,0.20987629437935,0.836599286122847,0.894309019936027,-6.59595669682315
"OR4A47",-0.0310440934065932,2.85546662721893,-0.209823393001178,0.836639833065382,0.894311346049113,-6.59596829956859
"GID4",0.0312898351648343,6.88944824260355,0.209442158063616,0.836932049643366,0.894521219377228,-6.59605182903176
"FAM167A",-0.0727034065934067,6.97418183431953,-0.20941347001823,0.836954040034788,0.894521219377228,-6.59605810854043
"ZNF282",0.0185347399267437,7.15362155029586,0.209395608917185,0.836967731265212,0.894521219377228,-6.596062017714
"FOXR1",-0.0262488388278381,4.20454965680473,-0.209366959816846,0.836989692031518,0.894521219377228,-6.59606828731305
"SNORA80E",-0.0240281767399271,6.0886858964497,-0.209107151287332,0.837188852827296,0.894693043828043,-6.5961251051512
"ARHGAP20",0.0442411245421246,5.21385434319527,0.209030363965812,0.837247717702924,0.894714926937279,-6.59614188443558
"COL8A1",-0.0881074450549457,7.10117973964497,-0.208652603175647,0.837537322351412,0.894918396554122,-6.59622434213713
"PSG2",-0.136873598901098,4.80616166863905,-0.208632107160553,0.83755303600915,0.894918396554122,-6.59622881177088
"RNU6-543P",-0.0427835036630042,1.79146697633136,-0.208631750462173,0.837553309479344,0.894918396554122,-6.59622888955341
"C17orf96",-0.023535853479852,5.59853086982249,-0.208349585964583,0.837769643509881,0.895108512023691,-6.59629037762682
"RAB39B",-0.0244493498168494,2.79982212426036,-0.20812371675811,0.837942825989216,0.89525250723496,-6.59633953845771
"KRTAP11-1",-0.0243933791208777,4.93089401183432,-0.207799447492297,0.838191470663187,0.895477108853452,-6.59641002355345
"RNA5SP225",-0.0353628543956042,4.21286240236686,-0.207549513001246,0.838383128743266,0.895592925782444,-6.59646427623859
"ATL1",-0.070286168498165,4.87744129585799,-0.20751398773489,0.838410371557854,0.895592925782444,-6.59647198235477
"WWC3",0.0372715128205172,8.21596392899408,0.207492284057826,0.83842701528909,0.895592925782444,-6.59647668965603
"ARHGAP1",-0.0411706080586089,10.3444506094675,-0.207426059822067,0.838477800650213,0.895592925782444,-6.59649104997691
"ADORA3",-0.0199631968864455,4.50248076627219,-0.207407533406037,0.838492008130549,0.895592925782444,-6.59649506650124
"RNA5SP90",0.0294271501831531,5.56453943195266,0.20732652307338,0.838554133764804,0.895618238275881,-6.59651262534019
"KIAA0196",0.0224690567765595,8.4282170591716,0.207131562660182,0.83870365059184,0.895736882387574,-6.59655485469251
"RNU4-55P",-0.024569091575092,1.81364325443787,-0.206944423256959,0.838847175461051,0.895834580080998,-6.59659535282402
"ST3GAL2",-0.0187210934065867,8.06501524260355,-0.206826137409062,0.838937896770541,0.895834580080998,-6.59662093184634
"OR10A5",-0.0328343058608058,2.77957940828402,-0.206821215497001,0.8389416717645,0.895834580080998,-6.59662199588257
"RNU6-1231P",0.0221998232600731,5.52639851183432,0.206811826598426,0.838948872846267,0.895834580080998,-6.59662402553782
"RNU6-155P",0.0338249688644696,3.37863149112426,0.206714860835926,0.839023244355079,0.895872950164185,-6.59664498185741
"MRPS34",-0.024752357142857,8.18359023076923,-0.206466057144044,0.839214080881995,0.8960239818995,-6.59669870881361
"GLRA1",0.0184584652014648,3.96395592899408,0.2063636883413,0.839292602467802,0.8960239818995,-6.59672079577161
"DNAH5",-0.0495554047619047,4.40450823076923,-0.20633171844575,0.839317125211584,0.8960239818995,-6.59672769132254
"RNU6-732P",-0.0341460604395605,1.84658676331361,-0.206329965691102,0.839318469679919,0.8960239818995,-6.59672806934151
"CUL4A",0.0225914597069625,8.65419281656805,0.205193672100007,0.840190183953611,0.896913507873715,-6.59697246335977
"RBM15",0.0192629679487188,7.65244283136095,0.205112132288178,0.840252746027189,0.89692462017408,-6.59698994934002
"RN7SL165P",0.0211183443223448,2.82784276331361,0.205079792110451,0.840277559595874,0.89692462017408,-6.59699688268508
