"","GSM1045517","GSM1045518","GSM1045519","GSM1045520","GSM1045521","GSM1045522","GSM1045523","GSM1045524","GSM1045525","GSM1045526","GSM1045527","GSM1045528","GSM1045529"
"8138401",8.057552,8.225677,7.886818,7.926476,7.873161,8.312672,8.312672,7.999951,8.731977,8.444605,8.365263,8.703858,8.610884
"8138435",4.628874,4.90345,4.626871,5.031768,4.611094,5.101572,4.902046,4.8315,4.809094,4.902046,4.902046,5.223829,4.933349
"8138440",2.745942,2.896918,3.059554,3.391223,2.725155,2.41685,2.558067,3.230518,2.442688,3.236023,2.815811,2.787342,2.825931
"8138442",7.970622,8.221838,8.1996,8.273156,8.081575,8.050083,8.419512,8.125154,7.612761,7.398078,8.059995,7.517961,7.701488
"8138450",6.471166,6.292179,6.686967,6.878097,6.649257,6.365667,6.240804,5.833705,5.897775,6.125129,5.997036,5.69504,5.87185
"8138454",6.947212,7.05728,7.05728,7.018696,6.973496,7.044466,7.05728,7.018616,7.340806,7.039517,7.301834,7.234363,7.215659
"8138459",4.081901,4.45314,4.62053,4.667682,4.524467,4.266784,4.341446,3.976354,3.686638,4.266784,4.266784,4.10124,3.957021
"8138466",3.81749,3.771672,3.830687,3.781255,4.114773,3.894448,3.714265,3.81749,3.686876,3.978273,3.623,3.786777,3.798604
"8138474",4.52166,4.64441,4.857046,5.020316,4.949639,4.74719,4.376329,4.448508,4.043311,4.66402,4.531414,4.154819,4.430543
"8138483",1.545925,1.702385,1.433959,2.330199,1.530184,1.360038,2.335508,1.126406,2.459972,1.432416,2.247949,1.39684,1.218145
"8138485",5.510186,5.47457,5.942011,6.155264,6.061888,5.400359,5.495718,5.390786,5.079437,5.417603,5.571947,5.058875,5.510186
"8138487",4.651154,4.675432,5.095086,6.731379,3.914526,4.705528,4.629194,4.675432,4.645755,4.991602,4.545913,4.368524,4.612547
"8138489",6.743357,4.713456,6.277505,5.916993,4.944272,6.650737,6.394159,7.926819,7.364977,7.079243,5.944041,7.980091,7.247667
"8138504",4.973588,5.016982,5.234486,4.804615,5.234486,4.585898,5.075619,5.311352,5.245351,5.673108,4.729906,5.804361,6.03052
"8138527",6.221249,6.38468,6.627508,7.019866,6.668673,5.277936,6.588205,9.832596,8.524456,7.951994,7.455641,8.283405,7.974703
"8138531",13.57207,13.55049,13.4324,13.67776,13.54853,13.55305,13.66772,13.62677,13.61507,13.48473,13.52827,13.54448,13.52973
"8138542",3.491224,4.243118,4.303787,4.954196,4.150583,3.896073,4.154791,5.061213,5.028506,4.694706,4.606312,5.433311,5.178144
"8138545",9.08891,9.052407,9.988034,8.777647,9.039425,8.58372,8.87408,9.33568,8.870113,9.18108,9.155323,8.451074,8.503321
"8138547",6.966821,7.059404,7.350291,8.007376,7.10482,7.167925,7.51382,8.00248,7.423314,7.29327,7.456192,7.457656,7.22537
"8138553",8.81864,9.344526,9.158291,9.906425,8.783043,8.713231,9.089162,9.522407,10.04179,9.27614,9.756226,9.84812,9.730158
"8138566",8.689466,7.165314,7.949892,7.147605,7.497011,7.329384,7.871686,7.949892,8.657119,7.949892,7.972061,8.82137,8.377805
"8138581",9.556332,9.319984,9.176645,8.59341,9.079155,9.453721,9.32311,9.833554,9.722682,9.447254,9.726007,9.703814,9.662004
"8138592",8.103832,8.029613,7.396525,6.939937,7.147114,8.292419,7.120277,7.46122,7.706599,7.511081,7.09631,7.682016,7.606338
"8138596",8.219173,7.86841,7.68915,7.73036,7.805665,7.9146,7.872332,8.398183,8.326249,8.204986,7.878664,8.09247,8.312868
"8138598",2.548856,2.266102,2.266102,2.09389,2.711942,2.266102,2.544149,2.266102,2.215558,2.266102,1.988224,2.215558,2.266102
"8138600",1.986266,2.093668,1.792878,2.006377,2.591222,2.006377,1.860519,2.298944,2.180064,2.053171,1.895846,2.064905,1.693654
"8138602",7.966704,7.908705,6.481205,8.584852,7.831611,7.963088,8.885832,8.807993,8.470348,7.571552,8.349964,8.374587,8.353977
"8138613",8.556803,8.545359,7.357142,7.05846,8.325235,7.519253,7.923787,8.382566,8.609718,7.982422,8.808361,8.670484,7.979654
"8138640",7.151515,6.825777,7.054243,7.475104,7.854871,7.532518,7.165035,8.171141,8.184843,7.700238,7.683088,8.308197,8.20078
"8138647",4.382883,5.176867,4.855273,4.852822,4.834271,4.979282,4.850293,4.458656,4.866271,4.481518,4.894289,4.727197,4.868788
"8138662",3.027278,3.114885,2.972169,2.818136,3.024027,3.091393,3.042665,2.62299,2.921037,3.109564,2.984725,3.150182,2.601068
"8138668",3.142422,2.001388,1.821701,1.718308,2.43158,1.824342,2.071257,1.935115,2.038813,2.038813,2.038813,2.164625,1.84508
"8138670",10.03829,10.09884,9.754208,9.296438,9.319847,10.2032,9.842675,10.22296,10.21003,10.0496,10.19372,10.25737,10.25624
"8138686",4.736821,4.72072,4.817894,4.976309,5.247925,4.591226,4.809861,4.353252,4.257345,4.521652,4.836787,4.297192,4.72072
"8138689",6.771701,6.321818,4.475476,6.462164,6.226707,5.936125,6.354409,6.562421,7.014883,4.119831,6.191828,5.624775,5.698739
"8138706",3.18758,2.407024,2.635882,2.788268,2.816436,2.549714,2.702367,2.826083,2.724778,2.810527,2.677632,2.54425,2.51879
"8138708",3.804942,3.742144,3.839753,4.06926,3.813946,3.62812,3.785396,3.449967,2.899648,4.031004,3.416669,3.523127,3.552139
"8138718",3.402467,3.916894,3.533759,3.311513,3.006039,3.402467,3.35428,3.651824,3.651824,3.63038,3.402467,3.069483,3.313489
"8138721",4.942402,4.630013,5.474628,4.921881,4.722391,4.943449,5.07235,5.12465,4.426632,5.193477,4.641773,4.71059,4.598874
"8138728",4.227802,4.302132,4.297065,4.354518,4.120539,4.310488,4.319448,3.781863,4.055047,4.23946,4.128236,4.158751,4.058511
"8138735",4.449831,4.090162,4.936375,4.649632,4.479951,4.500609,4.547302,4.139329,3.987253,4.478449,4.21948,4.099564,3.967423
